"","x","y","transport","injuries","construction","water","pharmacies","schools","health","parks","markets","libraries","label","vol","int"
"1305",596918.250551235,512572.008458809,189.526010564243,0.368579205436894,209.405529736546,192.365641268565,201.836117770557,247.748916825734,159.62554163828,69.9240687734007,4249.45692399122,3274.07301840495,1,4979.51680563894,1
"1306",596406.712112631,512059.215516842,125.862606935751,28.6085133727872,118.875198387115,504.991544659707,120.137324832871,51.3194118857025,188.938248842015,22.9741585490585,3609.92033078049,2974.53032734476,1,4979.51680563894,1
"1307",596431.705053694,511871.187027236,19.9614044839015,104.42098427704,36.4872105730643,471.137617366572,40.4143280209376,163.421482777677,22.9349201868178,163.119080758004,3532.24807339585,3078.12072664814,1,4979.51680563894,1
"1308",596489.008961541,512271.33420389,113.599836323129,75.1515413699474,80.6197097538814,524.830217101518,139.411671905536,41.5570696238456,239.164847638673,136.672301007795,3732.80694010546,2924.07260672876,1,4979.51680563894,1
"1309",596513.041157367,512112.8958149,210.60371020284,24.267137408901,38.869866178235,392.27923742786,53.2433665464272,138.91408008622,186.87643419022,91.3064213766948,3726.95594334181,3072.30923432513,1,4979.51680563894,1
"1310",596518.993995836,512161.244753014,207.298214602879,12.9555080690378,30.6649215146768,410.157239366358,46.2473640414555,100.98745482883,247.005453097722,115.222828653567,3745.66394294669,3042.94501678263,1,4979.51680563894,1
"1311",596534.36433388,512158.616092171,207.298214602879,12.9555080690378,30.6649215146768,410.157239366358,46.2473640414555,100.98745482883,247.005453097722,115.222828653567,3745.66394294669,3042.94501678263,1,4979.51680563894,1
"1312",596541.060383275,512156.702557332,207.298214602879,12.9555080690378,30.6649215146768,410.157239366358,46.2473640414555,100.98745482883,247.005453097722,115.222828653567,3745.66394294669,3042.94501678263,1,4979.51680563894,1
"1313",596547.211630087,512153.654495037,207.298214602879,12.9555080690378,30.6649215146768,410.157239366358,46.2473640414555,100.98745482883,247.005453097722,115.222828653567,3745.66394294669,3042.94501678263,1,4979.51680563894,1
"1314",596553.134948483,512157.185923084,207.298214602879,12.9555080690378,30.6649215146768,410.157239366358,46.2473640414555,100.98745482883,247.005453097722,115.222828653567,3745.66394294669,3042.94501678263,1,4979.51680563894,1
"1315",596582.623319173,512101.115629312,210.60371020284,24.267137408901,38.869866178235,392.27923742786,53.2433665464272,138.91408008622,186.87643419022,91.3064213766948,3726.95594334181,3072.30923432513,1,4979.51680563894,1
"1316",596637.239071115,512439.533610224,76.1088341956714,64.8071027235893,96.2163054531814,399.421329519048,66.1181218918149,52.7746446873085,107.070654083324,25.476971195664,3969.90074094544,3063.57217340238,1,4979.51680563894,1
"1317",596652.561766865,512180.532906955,141.7710713869,41.7215662185908,54.0581171613432,302.49973571092,70.4822587981287,200.335233671097,272.036558267071,146.99930452093,3882.20645825436,3147.35389064505,1,4979.51680563894,1
"1318",596654.12731365,511862.507450905,16.8387046174895,66.0628950121822,115.561935293504,244.017604405866,102.785186477291,172.226452864697,61.4975823914892,37.502056257779,3734.86216760689,3293.21958400404,1,4979.51680563894,1
"1319",596657.13235143,511870.234845626,16.8387046174895,66.0628950121822,115.561935293504,244.017604405866,102.785186477291,172.226452864697,61.4975823914892,37.502056257779,3734.86216760689,3293.21958400404,1,4979.51680563894,1
"1320",596687.330586198,512357.438584811,151.671838923785,42.6141177789947,111.296278798826,340.755795867467,62.3829907557217,135.797242907012,216.456308741612,89.7153179236986,3925.4693567237,3113.03932504141,1,4979.51680563894,1
"1321",596918.217085531,512571.974993105,189.526010564243,0.368579205436894,209.405529736546,192.365641268565,201.836117770557,247.748916825734,159.62554163828,69.9240687734007,4249.45692399122,3274.07301840495,1,4979.51680563894,1
"1322",596918.237336594,512571.995244169,189.526010564243,0.368579205436894,209.405529736546,192.365641268565,201.836117770557,247.748916825734,159.62554163828,69.9240687734007,4249.45692399122,3274.07301840495,1,4979.51680563894,1
"1323",597098.228878306,511358.656766504,34.9805663182606,64.2573213187582,557.800965652185,147.981959797371,549.419046029231,457.892746519831,425.494492101036,176.199014830896,4079.33102398687,3922.77094615116,1,4979.51680563894,1
"1324",596918.295034778,512572.052942353,189.526010564243,0.368579205436894,209.405529736546,192.365641268565,201.836117770557,247.748916825734,159.62554163828,69.9240687734007,4249.45692399122,3274.07301840495,1,4979.51680563894,1
"1325",596918.27749873,512572.035406304,189.526010564243,0.368579205436894,209.405529736546,192.365641268565,201.836117770557,247.748916825734,159.62554163828,69.9240687734007,4249.45692399122,3274.07301840495,1,4979.51680563894,1
"1326",596566.185110762,512490.58888381,108.017336152127,53.5434793727956,179.598526631367,475.747825617339,129.291845532478,127.76730650766,84.2401268492191,7.89870326959277,3886.86163967057,2983.93376280369,1,4979.51680563894,1
"1327",596918.260811683,512572.018719257,189.526010564243,0.368579205436894,209.405529736546,192.365641268565,201.836117770557,247.748916825734,159.62554163828,69.9240687734007,4249.45692399122,3274.07301840495,1,4979.51680563894,1
