"","x","y","Jarak_Lampu","n_Lajur","n_Jalur","Kerb_R","Kerb_L","label","vol"
"122",59992.8930600484,-83218.5218807331,150.015590835284,2,2,0,0,1,2.4715532820928
"123",62109.3541466435,-84031.7009848328,18.9007646395386,4,2,1,1,1,0.8009751928498
"124",59670.6113710495,-84171.0132459418,9.9013890853583,2,2,0,0,1,4.10821522028874
"125",60027.1424793502,-84121.6753720844,28.9555958954325,2,2,0,0,1,1.8610391821247
"126",58744.5865450519,-85198.7293068702,775.408694021454,2,2,0,0,1,2.88084298408278
"127",59776.927373151,-84194.9920677889,0.0784605400206064,2,2,0,0,1,1.11207376701961
"128",60417.2554702673,-84050.4275247506,13.7445612939757,2,2,0,0,1,1.10191251259331
"129",62322.0257011009,-83409.1587975551,113.511916249298,2,2,0,0,1,0.00043145640333444
"130",61178.756320087,-84574.6132705349,118.189210651996,2,2,0,0,1,1.95289008042357
"131",60417.7343737061,-84048.7026170307,11.9544062320699,2,2,0,0,1,1.10191251259331
"132",61080.6197999941,-84325.0399732876,155.248032026647,2,2,0,0,1,3.72735472810819
"133",58854.8312736685,-83565.1915889549,391.246695918077,4,2,0,0,1,1.94418667240644
"134",59398.9669177683,-83691.2966161652,39.8840825900821,2,2,0,0,1,0.960911796258224
"135",59832.9189810209,-83905.4917154033,11.583625255291,4,2,0,0,1,3.21574347714186
"136",59903.1912937869,-84754.1480733985,239.327762410409,2,2,0,0,1,2.88484451594184
"137",60220.1572044487,-84942.9067077932,19.3399620823863,2,2,0,0,1,0.717141798050908
"138",62279.0163743934,-83573.8315485583,59.9574194421015,2,2,0,0,1,1.26668768692113
"139",59909.6129623053,-84585.3729262945,21.5034627282749,2,2,0,0,1,4.35644680949415
"140",58770.0008030363,-85128.6448362157,698.819538912099,1,2,0,0,1,0.995939819705137
"141",60202.3686265923,-84916.9533678037,15.6469198513418,2,2,0,0,1,0.370650662662182
"142",61426.8650667179,-85039.9125407909,141.765041848359,2,2,0,0,1,3.21421390809082
"143",61019.3394483942,-84081.189614994,0.0765621935134964,4,2,0,0,1,0.217282767973361
"144",61174.8055547433,-84592.281499948,122.481349155735,2,2,0,0,1,1.63543446115876
"145",59925.3474441548,-84347.7483769543,25.5388816954397,2,2,0,0,1,2.86063583628229
"146",60199.9776524407,-85091.0430072607,171.700707125228,2,2,0,0,1,2.34145184049063
"147",59631.1069139288,-84668.950538752,41.2245219543542,2,2,0,0,1,5.36485818547228
"148",60425.3420857179,-84045.3400787319,14.2813230497823,4,2,0,0,1,5.8547356871877
"149",61208.0205547407,-84886.6107670215,104.27069220325,2,2,0,0,1,4.74850638910063
"150",60551.8124631574,-84650.7688279257,10.6816287239004,2,2,0,0,1,3.51870137536209
"151",59745.2203616331,-83873.7013820797,65.3515161938248,4,2,0,0,1,1.31432301132544
"152",60623.1816812868,-84060.791647268,212.865739156064,2,2,0,0,1,2.28253395981842
"153",60510.7208646654,-84051.5774868591,99.9188685761635,4,2,0,0,1,1.28251756632433
"154",62080.59441396,-84339.2842679522,320.565205621259,2,2,0,0,1,2.90633906059979
"155",61745.6580679495,-84092.7252805649,4.58221606072203,4,2,0,0,1,2.31401209983019
"156",60347.8974470204,-84039.6399753344,64.2978642477555,4,2,0,0,1,2.81181430034139
"157",59914.7197423167,-84564.4319388715,2.17385759392316,4,2,0,1,1,0.724794151699916
"158",59903.6576564608,-84236.6773639161,5.47325187903549,4,2,1,1,1,5.40681810269361
